Temperature (deg F),Dew Point (deg F),Pressure (atm)
70.1,50.0,0.0
70.1,50.0,0.0
70.2,50.1,0.0
70.2,50.1,0.0
70.2,50.1,0.0
70.2,50.2,0.0
70.3,50.3,0.0
70.3,50.3,0.0
70.4,50.3,0.0
70.4,50.4,0.0
70.4,50.4,0.0
70.4,50.4,0.0
70.4,50.4,0.0
70.4,50.5,0.0
70.5,50.5,0.0
70.5,50.6,0.0
70.6,50.6,0.0
70.6,50.7,0.0
70.6,50.7,0.0
70.6,50.7,0.0
70.6,50.8,0.1
70.7,50.8,0.1
70.7,50.8,0.1
70.8,50.8,0.1
70.9,50.8,0.1
70.9,50.8,0.1
70.9,50.8,0.1
70.9,51.0,0.1
70.9,51.0,0.1
71.0,51.0,0.1
71.0,51.0,0.1
71.0,51.1,0.1
71.0,51.1,0.1
71.1,51.2,0.1
71.1,51.3,0.1
71.1,51.3,0.1
71.1,51.3,0.1
71.1,51.4,0.1
71.1,51.4,0.1
71.3,51.4,0.1
71.3,51.4,0.1
71.3,51.5,0.1
71.4,51.5,0.1
71.6,51.5,0.1
71.8,51.6,0.1
71.8,51.6,0.1
71.8,51.6,0.1
71.8,51.7,0.1
71.9,51.8,0.1
71.9,51.9,0.1
72.0,51.9,0.1
72.0,51.9,0.1
72.0,52.0,0.1
72.1,52.1,0.1
72.1,52.2,0.1
72.3,52.2,0.1
72.3,52.2,0.1
72.4,52.3,0.1
72.4,52.4,0.1
72.4,52.4,0.1
72.5,52.4,0.2
72.5,52.4,0.2
72.5,52.5,0.2
72.6,52.5,0.2
72.6,52.5,0.2
72.7,52.6,0.2
72.7,52.7,0.2
72.7,52.7,0.2
72.8,52.8,0.2
72.8,52.9,0.2
72.8,52.9,0.2
72.8,52.9,0.2
72.9,52.9,0.2
72.9,52.9,0.2
73.0,53.0,0.2
73.1,53.0,0.2
73.1,53.1,0.2
73.2,53.1,0.2
73.4,53.2,0.2
73.4,53.3,0.2
73.4,53.3,0.2
73.4,53.4,0.2
73.5,53.4,0.2
73.5,53.4,0.2
73.5,53.4,0.2
73.5,53.5,0.2
73.6,53.5,0.2
73.6,53.6,0.2
73.6,53.6,0.2
73.6,53.6,0.2
73.8,53.7,0.2
73.8,53.7,0.2
73.8,53.8,0.2
73.8,53.8,0.2
73.8,53.8,0.2
73.9,53.8,0.2
74.0,53.9,0.2
74.0,53.9,0.2
74.0,54.0,0.2
74.0,54.1,0.2
74.1,54.1,0.2
74.2,54.2,0.3
74.2,54.2,0.3
74.3,54.3,0.3
74.3,54.3,0.3
74.4,54.4,0.3
74.4,54.4,0.3
74.4,54.5,0.3
74.4,54.6,0.3
74.6,54.6,0.3
74.7,54.6,0.3
74.7,54.7,0.3
74.7,54.7,0.3
74.8,54.7,0.3
74.8,54.8,0.3
74.8,54.8,0.3
74.9,54.8,0.3
74.9,54.9,0.3
74.9,54.9,0.3
75.0,54.9,0.3
75.1,54.9,0.3
75.1,54.9,0.3
75.1,55.0,0.3
75.2,55.0,0.3
75.2,55.0,0.3
75.2,55.2,0.3
75.3,55.2,0.3
75.4,55.3,0.3
75.5,55.3,0.3
